Feature,Progress,Date Implemented,Description
Feed sorter,added,,
Profile viewer,added,,
Following,added,,
User nickname,added,,
User description,added,,
User posts,added,,
Followers,not started,,
Reposts,not started,,
Full-view threads,not started,,
Image embeds,not started,,
Alt text viewing,added,,
Account login,added,,
Posting,added,,
Image upload,added,,
Alt text inclusion,added,,
Automatic image resizing & size limiter,considering,,
Link attachment,added,,
Reposting,not started,,
Liking,not started,,
Custom feed viewer,considering,,
Notifications viewer,considering,,
